,artist,song
89,Kendrick Lamar,n95
90,Drake feat. 21 Savage,jimmycooks
91,Harry Styles,asitwas
92,Beyonce,breakmysoul
93,Pharrell feat. 21 Savage and Tyler,"thecreator,‘cashincashout"
94,Quavo and Takeoff,hotellobby
95,Rosalia,despecha
96,Taylor Swift,karma
97,Steve Lacy,badhabit
98,Beyonce,cuffit
99,Bad Bunny,titimepreguntó
