,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,songs_id,artist
23,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,Juice WRLD
24,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,281560,4,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran
25,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood
26,0.517,0.571,1,-7.502,0,0.124,0.074,0.0,0.0982,0.428,144.745,audio_features,7qAwnjc2qPbpK1gB4VRwXW,spotify:track:7qAwnjc2qPbpK1gB4VRwXW,https://api.spotify.com/v1/tracks/7qAwnjc2qPbpK1gB4VRwXW,https://api.spotify.com/v1/audio-analysis/7qAwnjc2qPbpK1gB4VRwXW,173379,4,I Remember (feat. Roddy Ricch & Kodak Black),7qAwnjc2qPbpK1gB4VRwXW,Internet Money
27,0.755,0.448,7,-9.587,1,0.107,0.0283,3.28e-05,0.514,0.318,77.179,audio_features,6T8cJz5lAqGer9GUHGyelE,spotify:track:6T8cJz5lAqGer9GUHGyelE,https://api.spotify.com/v1/tracks/6T8cJz5lAqGer9GUHGyelE,https://api.spotify.com/v1/audio-analysis/6T8cJz5lAqGer9GUHGyelE,198960,4,God's Plan,6T8cJz5lAqGer9GUHGyelE,Drake
28,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,audio_features,1HNkqx9Ahdgi1Ixy2xkKkL,spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL,258987,4,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran
29,0.635,0.796,1,-7.916,1,0.347,0.28,0.00137,0.172,0.728,120.028,audio_features,46CIORl7dsBbLCpUSD4iWd,spotify:track:46CIORl7dsBbLCpUSD4iWd,https://api.spotify.com/v1/tracks/46CIORl7dsBbLCpUSD4iWd,https://api.spotify.com/v1/audio-analysis/46CIORl7dsBbLCpUSD4iWd,170000,4,FRUTA,46CIORl7dsBbLCpUSD4iWd,ALE ALAS
30,0.617,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,audio_features,6RUKPb4LETWmmr3iAEQktW,spotify:track:6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/tracks/6RUKPb4LETWmmr3iAEQktW,https://api.spotify.com/v1/audio-analysis/6RUKPb4LETWmmr3iAEQktW,247160,4,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers
31,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,audio_features,4u7EnebtmKWzUH433cf5Qv,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv,354320,4,Bohemian Rhapsody - Remastered 2011,4u7EnebtmKWzUH433cf5Qv,Queen
32,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,audio_features,2VxeLyX666F8uXCJ0dZF8B,spotify:track:2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,215733,4,Shallow,2VxeLyX666F8uXCJ0dZF8B,Lady Gaga
